scenario,prod_load_zone,bio_atr_ccs,bio_smr,bio_smr_ccs,biomass_gas,coal_gas,coal_gas_ccs,gas_atr_ccs,gas_pyrolysis,gas_smr,gas_smr_ccs,grid_elz,soec_elz,solar_elz,wind_elz
Limited Progress,AZ_APS_E,0.0,1.24e-05,0.0,0.0,0.0,0.0,24.365,0.0,0.00027955,1.5439e-05,7.241e-05,0.0,0.000467088,0.000130449
Limited Progress,AZ_APS_N,0.0,1.264e-05,0.0,0.0,0.0,0.0,106.36,0.0,0.00077227,1.5813e-05,7.112e-05,0.0,0.001317187,6.6246e-05
Limited Progress,AZ_APS_SW,0.0,1.2468e-05,0.0,0.0,0.0,0.0,53.347,0.0,0.00023798,1.5415e-05,9.0262e-05,0.0,0.001646578,0.0
Limited Progress,AZ_NM_N,0.0,1.2375e-05,0.0,0.0,0.0,0.0,168.88,0.0,25.948,1.6359e-05,5.4991e-05,0.0,0.000778506,7.3311e-05
Limited Progress,AZ_NW,0.0,1.252e-05,0.0,0.0,0.0,0.0,24.942,0.0,0.0014978,1.5949e-05,6.8233e-05,0.0,0.0006504600000000001,0.0
Limited Progress,AZ_PHX,0.0,1.2496e-05,0.0,0.0,0.0,0.0,1210.3,0.0,0.00044708,1.5552e-05,0.00065364,0.0,0.000554107,0.0
Limited Progress,AZ_SE,0.0,1.2411e-05,0.0,0.0,0.0,0.0,128.29,0.0,0.00042684,1.5529e-05,9.1725e-05,0.0,0.000672142,3.1249e-05
Limited Progress,CAN_ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.218e-05,0.0,0.0,0.000460204
Limited Progress,CA_IID,0.0,1.2204e-05,0.0,0.0,0.0,0.0,324.83,0.0,0.0048669,1.6423e-05,5.6035e-05,0.0,0.000976703,0.0
Limited Progress,CA_LADWP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.52,0.0,0.0,0.0
Limited Progress,CA_PGE_BAY,0.0,1.4964e-05,0.0,0.0,0.0,0.0,771.22,0.0,1523.8,1.7651e-05,0.00061554,0.0,0.000152905,0.0
Limited Progress,CA_PGE_CEN,0.0,1.2549e-05,0.0,0.0,0.0,0.0,2136.5,0.0,240.74,1.7115e-05,2.264e-05,0.0,0.000264353,0.0
Limited Progress,CA_PGE_N,0.0,1.3684e-05,0.0,0.0,0.0,0.0,811.52,0.0,10.595,1.7248e-05,2.2179e-05,0.0,0.0,0.000477445
Limited Progress,CA_PGE_S,0.0,1.4047e-05,0.0,0.0,0.0,0.0,162.67,0.0,3.3319,1.6989e-05,3.0195e-05,0.0,0.000232422,0.0
