LOAD_AREA,tech1,tech2,tech3,site_count,potential_MW
AZ_SE,gas_smr,gas_smr_ccs,gas_atr_ccs,25657.0,5354295.0
AZ_SE,biomass_gas,,,0.0,0.0
AZ_PHX,bio_smr,bio_smr_ccs,bio_atr_ccs,28.0,5843.0
AZ_PHX,coal_gas,coal_gas_ccs,,7.0,1996.0
AZ_PHX,gas_smr,gas_smr_ccs,gas_atr_ccs,353.0,73666.0
AZ_PHX,biomass_gas,,,0.0,0.0
AZ_NM_N,bio_smr,bio_smr_ccs,bio_atr_ccs,1079.0,225173.0
AZ_NM_N,coal_gas,coal_gas_ccs,,2427.0,692195.0
AZ_NM_N,gas_smr,gas_smr_ccs,gas_atr_ccs,22680.0,4733032.0
AZ_NM_N,biomass_gas,,,0.0,0.0
UT_S,bio_smr,bio_smr_ccs,bio_atr_ccs,2772.0,578481.0
UT_S,coal_gas,coal_gas_ccs,,2758.0,786598.0
UT_S,gas_smr,gas_smr_ccs,gas_atr_ccs,8295.0,1731062.0
UT_S,biomass_gas,,,578.0,38598.0
WA_SEATAC,bio_smr,bio_smr_ccs,bio_atr_ccs,0.0,0.0
WA_SEATAC,coal_gas,coal_gas_ccs,,0.0,0.0
WA_SEATAC,gas_smr,gas_smr_ccs,gas_atr_ccs,0.0,0.0
WA_SEATAC,biomass_gas,,,0.0,0.0
NM_N,bio_smr,bio_smr_ccs,bio_atr_ccs,744.0,155263.0
NM_N,coal_gas,coal_gas_ccs,,3599.0,1026457.0
NM_N,gas_smr,gas_smr_ccs,gas_atr_ccs,14671.0,3061654.0
NM_N,biomass_gas,,,0.0,0.0
CA_PGE_CEN,bio_smr,bio_smr_ccs,bio_atr_ccs,482.0,100587.0
CA_PGE_CEN,coal_gas,coal_gas_ccs,,72.0,20534.0
CA_PGE_CEN,gas_smr,gas_smr_ccs,gas_atr_ccs,983.0,205139.0
CA_PGE_CEN,biomass_gas,,,252.0,16828.0
CA_PGE_BAY,bio_smr,bio_smr_ccs,bio_atr_ccs,6.0,1252.0
CA_PGE_BAY,coal_gas,coal_gas_ccs,,0.0,0.0
CA_PGE_BAY,gas_smr,gas_smr_ccs,gas_atr_ccs,11.0,2295.0
CA_PGE_BAY,biomass_gas,,,0.0,0.0
CA_PGE_S,bio_smr,bio_smr_ccs,bio_atr_ccs,903.0,188444.0
CA_PGE_S,coal_gas,coal_gas_ccs,,69.0,19679.0
CA_PGE_S,gas_smr,gas_smr_ccs,gas_atr_ccs,2998.0,625645.0
CA_PGE_S,biomass_gas,,,375.0,25042.0
NV_N,bio_smr,bio_smr_ccs,bio_atr_ccs,1460.0,304683.0
NV_N,coal_gas,coal_gas_ccs,,2016.0,574975.0
NV_N,gas_smr,gas_smr_ccs,gas_atr_ccs,19418.0,4052293.0
NV_N,biomass_gas,,,0.0,0.0
CO_NW,bio_smr,bio_smr_ccs,bio_atr_ccs,826.0,172375.0
CO_NW,coal_gas,coal_gas_ccs,,627.0,178824.0
CO_NW,gas_smr,gas_smr_ccs,gas_atr_ccs,6220.0,1298036.0
CO_NW,biomass_gas,,,26.0,1736.0
UT_N,bio_smr,bio_smr_ccs,bio_atr_ccs,1440.0,300510.0
UT_N,coal_gas,coal_gas_ccs,,862.0,245847.0
UT_N,gas_smr,gas_smr_ccs,gas_atr_ccs,9755.0,2035746.0
UT_N,biomass_gas,,,0.0,0.0
MT_NE,bio_smr,bio_smr_ccs,bio_atr_ccs,2472.0,515875.0
MT_NE,coal_gas,coal_gas_ccs,,888.0,253263.0
MT_NE,gas_smr,gas_smr_ccs,gas_atr_ccs,14347.0,2994039.0
MT_NE,biomass_gas,,,0.0,0.0
MT_SE,bio_smr,bio_smr_ccs,bio_atr_ccs,1325.0,276510.0
MT_SE,coal_gas,coal_gas_ccs,,969.0,276364.0
MT_SE,gas_smr,gas_smr_ccs,gas_atr_ccs,6678.0,1393615.0
