load_zone,tech,connection_dist
CA_PGE_S,gas_atr_ccs,1483.36359274726
CA_PGE_S,gas_smr,1483.36359274726
CA_PGE_S,gas_smr_ccs,1483.36359274726
CA_SCE_CEN,bio_atr_ccs,2330.84317321525
CA_SCE_CEN,bio_smr,2255.685105154443
CA_SCE_CEN,bio_smr_ccs,2330.84317321525
CA_SCE_CEN,biomass_gas,
CA_SCE_CEN,coal_gas,1786.2945188538072
CA_SCE_CEN,coal_gas_ccs,1786.2945188538072
CA_SCE_CEN,gas_atr_ccs,2490.219803813471
CA_SCE_CEN,gas_smr,2490.219803813471
CA_SCE_CEN,gas_smr_ccs,2490.219803813471
CA_SCE_S,bio_atr_ccs,2371.1861412179014
CA_SCE_S,bio_smr,2371.1861412179014
CA_SCE_S,bio_smr_ccs,2371.1861412179014
CA_SCE_S,biomass_gas,
CA_SCE_S,coal_gas,1001.798694123792
CA_SCE_S,coal_gas_ccs,1001.798694123792
CA_SCE_S,gas_atr_ccs,3044.572137884822
CA_SCE_S,gas_smr,3044.572137884822
CA_SCE_S,gas_smr_ccs,3044.572137884822
CA_SCE_SE,bio_atr_ccs,3337.6088183822485
CA_SCE_SE,bio_smr,3337.6088183822485
CA_SCE_SE,bio_smr_ccs,3337.6088183822485
CA_SCE_SE,biomass_gas,
CA_SCE_SE,coal_gas,2887.703369217439
CA_SCE_SE,coal_gas_ccs,2887.703369217439
CA_SCE_SE,gas_atr_ccs,2133.8479162311123
CA_SCE_SE,gas_smr,2133.8479162311123
CA_SCE_SE,gas_smr_ccs,2133.8479162311123
CA_SCE_VLY,bio_atr_ccs,2147.842722418225
CA_SCE_VLY,bio_smr,2172.946531091777
CA_SCE_VLY,bio_smr_ccs,2147.842722418225
CA_SCE_VLY,biomass_gas,2983.6826305120367
CA_SCE_VLY,coal_gas,6301.814480800404
CA_SCE_VLY,coal_gas_ccs,6301.814480800404
CA_SCE_VLY,gas_atr_ccs,2914.3572536500265
CA_SCE_VLY,gas_smr,2914.3572536500265
CA_SCE_VLY,gas_smr_ccs,2914.3572536500265
CA_SDGE,bio_atr_ccs,3461.5180105666086
CA_SDGE,bio_smr,3461.5180105666086
CA_SDGE,bio_smr_ccs,3461.5180105666086
CA_SDGE,biomass_gas,
CA_SDGE,coal_gas,1987.4118953945047
CA_SDGE,coal_gas_ccs,3452.701921058292
CA_SDGE,gas_atr_ccs,3560.0999362446623
CA_SDGE,gas_smr,3560.0999362446623
CA_SDGE,gas_smr_ccs,3560.0999362446623
CA_SMUD,bio_atr_ccs,904.4623214739687
CA_SMUD,bio_smr,904.4623214739687
CA_SMUD,bio_smr_ccs,904.4623214739687
CA_SMUD,biomass_gas,
CA_SMUD,coal_gas,7740.650642946981
CA_SMUD,coal_gas_ccs,7740.650642946981
CA_SMUD,gas_atr_ccs,7387.481656133116
CA_SMUD,gas_smr,7387.481656133116
CA_SMUD,gas_smr_ccs,7387.481656133116
CO_DEN,bio_atr_ccs,1800.637330068077
CO_DEN,bio_smr,1800.637330068077
CO_DEN,bio_smr_ccs,1800.637330068077
CO_DEN,biomass_gas,
CO_DEN,coal_gas,1910.849661521717
CO_DEN,coal_gas_ccs,1910.849661521717
CO_DEN,gas_atr_ccs,3354.595956840099
CO_DEN,gas_smr,3354.595956840099
CO_DEN,gas_smr_ccs,3354.595956840099
CO_E,bio_atr_ccs,2125.1162572726407
CO_E,bio_smr,2125.1162572726407
CO_E,bio_smr_ccs,2125.1162572726407
CO_E,biomass_gas,
CO_E,coal_gas,2664.4702809957657
CO_E,coal_gas_ccs,2664.4702809957657
CO_E,gas_atr_ccs,4928.958640901063
CO_E,gas_smr,4928.958640901063
CO_E,gas_smr_ccs,4928.958640901063
CO_NW,bio_atr_ccs,1269.0742453239563
CO_NW,bio_smr,1334.7032396696925
CO_NW,bio_smr_ccs,1269.0742453239563
CO_NW,biomass_gas,3262.0572551102587
CO_NW,coal_gas,1511.0012347760728
CO_NW,coal_gas_ccs,1439.1177175319795
CO_NW,gas_atr_ccs,5714.753702923139
CO_NW,gas_smr,5714.753702923139
CO_NW,gas_smr_ccs,5714.753702923139
CO_SW,bio_atr_ccs,1496.7625734230032
CO_SW,bio_smr,1568.872194916973
CO_SW,bio_smr_ccs,1496.7625734230032
CO_SW,biomass_gas,
CO_SW,coal_gas,1763.7565642360778
CO_SW,coal_gas_ccs,1529.5442663097815
CO_SW,gas_atr_ccs,2116.9575151350036
CO_SW,gas_smr,2116.9575151350036
CO_SW,gas_smr_ccs,2116.9575151350036
ID_E,bio_atr_ccs,1510.4802475304648
ID_E,bio_smr,2110.5520684693556
ID_E,bio_smr_ccs,1510.4802475304648
ID_E,biomass_gas,2627.824553206085
ID_E,coal_gas,1588.2786947233362
ID_E,coal_gas_ccs,1594.7096329937515
ID_E,gas_atr_ccs,2375.0899179912144
ID_E,gas_smr,2375.0899179912144
ID_E,gas_smr_ccs,2375.0899179912144
ID_S_OR_E,bio_atr_ccs,3472.610161061663
ID_S_OR_E,bio_smr,2870.4648074285237
ID_S_OR_E,bio_smr_ccs,3472.610161061663
ID_S_OR_E,biomass_gas,3410.6394126912874
ID_S_OR_E,coal_gas,2259.2943422626945
ID_S_OR_E,coal_gas_ccs,2227.2855926952325
ID_S_OR_E,gas_atr_ccs,3931.580083449618
ID_S_OR_E,gas_smr,3931.580083449618
ID_S_OR_E,gas_smr_ccs,3931.580083449618
MT_NE,bio_atr_ccs,3245.5450702224216
MT_NE,bio_smr,3251.1971095504823
MT_NE,bio_smr_ccs,3245.5450702224216
MT_NE,biomass_gas,
MT_NE,coal_gas,2258.192715310264
MT_NE,coal_gas_ccs,2258.192715310264
MT_NE,gas_atr_ccs,3569.7161313190663
MT_NE,gas_smr,3569.7161313190663
MT_NE,gas_smr_ccs,3569.7161313190663
MT_NW,bio_atr_ccs,891.0637750105083
MT_NW,bio_smr,891.0637750105083
MT_NW,bio_smr_ccs,891.0637750105083
MT_NW,biomass_gas,2799.788071460318
MT_NW,coal_gas,3991.5185555172607
MT_NW,coal_gas_ccs,3677.3753773934554
MT_NW,gas_atr_ccs,1242.2717834013404
MT_NW,gas_smr,1242.2717834013404
MT_NW,gas_smr_ccs,1242.2717834013404
MT_SE,bio_atr_ccs,2060.450624086637
MT_SE,bio_smr,2060.450624086637
MT_SE,bio_smr_ccs,2060.450624086637
MT_SE,biomass_gas,
MT_SE,coal_gas,2676.296273115205
MT_SE,coal_gas_ccs,2676.296273115205
MT_SE,gas_atr_ccs,4068.8362121140676
MT_SE,gas_smr,4068.8362121140676
MT_SE,gas_smr_ccs,4068.8362121140676
MT_SW,bio_atr_ccs,1837.081861919027
MT_SW,bio_smr,1931.3435953973913
MT_SW,bio_smr_ccs,1837.081861919027
MT_SW,biomass_gas,
MT_SW,coal_gas,1794.8637224723416
MT_SW,coal_gas_ccs,1665.0151199301547
MT_SW,gas_atr_ccs,2061.247618586235
MT_SW,gas_smr,2061.247618586235
MT_SW,gas_smr_ccs,2061.247618586235
NM_N,bio_atr_ccs,2048.4359163790828
NM_N,bio_smr,2242.8523410459197
NM_N,bio_smr_ccs,2048.4359163790828
NM_N,biomass_gas,
NM_N,coal_gas,6113.034297459259
NM_N,coal_gas_ccs,5446.100988741699
NM_N,gas_atr_ccs,6294.541610838603
NM_N,gas_smr,6294.541610838603
NM_N,gas_smr_ccs,6294.541610838603
NM_S_TX_EPE,bio_atr_ccs,2621.451490429711
NM_S_TX_EPE,bio_smr,2522.8662469591723
NM_S_TX_EPE,bio_smr_ccs,2621.451490429711
NM_S_TX_EPE,biomass_gas,
NM_S_TX_EPE,coal_gas,3311.0686174276448
NM_S_TX_EPE,coal_gas_ccs,3332.8107436899695
NM_S_TX_EPE,gas_atr_ccs,5522.428145613837
NM_S_TX_EPE,gas_smr,5522.428145613837
NM_S_TX_EPE,gas_smr_ccs,5522.428145613837
NV_N,bio_atr_ccs,2338.8375799983155
NV_N,bio_smr,2372.7065202571825
NV_N,bio_smr_ccs,2338.8375799983155
NV_N,biomass_gas,
NV_N,coal_gas,5183.595067997362
NV_N,coal_gas_ccs,4720.483584752725
NV_N,gas_atr_ccs,7917.650457555767
NV_N,gas_smr,7917.650457555767
NV_N,gas_smr_ccs,7917.650457555767
NV_S,bio_atr_ccs,1280.1435078925372
NV_S,bio_smr,1906.7265376183204
NV_S,bio_smr_ccs,1280.1435078925372
NV_S,biomass_gas,
NV_S,coal_gas,1404.4838777360274
NV_S,coal_gas_ccs,1342.8564658180135
NV_S,gas_atr_ccs,1685.4351899783042
NV_S,gas_smr,1685.4351899783042
NV_S,gas_smr_ccs,1685.4351899783042
OR_E,bio_atr_ccs,3314.456741866287
OR_E,bio_smr,3314.456741866287
OR_E,bio_smr_ccs,3314.456741866287
OR_E,biomass_gas,1785.7328011125837
OR_E,coal_gas,2270.847885140313
OR_E,coal_gas_ccs,2251.3295458088983
OR_E,gas_atr_ccs,3134.6176571006795
